producto,precio
Cerveza Amstel lata 473 cc,"$ 61,70   por 1 unidad/es $ 102,84 40 %"
Cerveza Andes Ipa lata 473 cc,"$ 90,93   por 1 unidad/es"
Cerveza Andes Negra lata 473 cc,"$ 63,65   por 1 unidad/es $ 90,93 30 %"
Cerveza Andes Rubia lata 473 cc,"$ 60,65   por 1 unidad/es $ 86,64 30 %"
Cerveza Andes roja lata 473 cc,"$ 63,65   por 1 unidad/es $ 90,93 30 %"
Cerveza Brahma Lata 473 cc.,"$ 52,33   por 1 unidad/es $ 80,50 35 %"
Cerveza Corona 330 Ml.,"$ 113,68   por 1 unidad/es"
Cerveza Heineken lata 473 cc,"$ 115,92   por 1 unidad/es"
Cerveza Imperial APA lata 473 cc,"$ 113,71   por 1 unidad/es"
Cerveza Imperial IPA lata 473 cc,"$ 113,71   por 1 unidad/es"
Cerveza Imperial Stout lata 473 cc,"$ 92,93   por 1 unidad/es"
Cerveza Patagonia Amber Lager Bot. 730 cc.,"$ 179,20   por 1 unidad/es"
Cerveza Patagonia Weisse Bot. 730 cc.,"$ 179,20   por 1 unidad/es"
Cerveza Quilmes 1890 - 473 cc,"$ 53,13   por 1 unidad/es $ 75,90 30 %"
Cerveza Quilmes lata 473 cc,"$ 53,13   por 1 unidad/es $ 75,90 30 %"
Cerveza Schneider Negra lata 473 cc,"$ 47,71   por 1 unidad/es $ 79,51 40 %"
Cerveza Schneider Roja lata 473 cc,"$ 47,71   por 1 unidad/es $ 79,51 40 %"
Cerveza Schneider lata 710 cc,"$ 97,78   por 1 unidad/es"
Cerveza Stella Artois lata 473 cc,"$ 99,00   por 1 unidad/es"
Cerveza Stella Noire 473 cc.,"$ 110,08   por 1 unidad/es"
Cerveza Temple Honey Lata 473 cc.,"$ 138,78   por 1 unidad/es"
Cerveza Temple Ipa Lata 473 cc.,"$ 138,78   por 1 unidad/es"
Cerveza Temple Scottish Lata 473 cc.,"$ 138,78   por 1 unidad/es"
Cerveza Warsteiner lata 473 cc,"$ 89,63   por 1 unidad/es"
