producto,precio
Arándanos en bandejita 125 gr.,"$ 100,20   por 1 unidad/es $ 167,00 40 %"
Bananas,"$ 58,80   por 500 gramos $ 84,00 30 %"
Bananas para Licuado,"$ 28,00   por 500 gramos $ 40,00 30 %"
Cereza,"$ 120,00   por 250 gramos $ 200,00 40 %"
Combo box frutas,"$ 679,00   por 1 unidad/es $ 970,00 30 %"
Combo box frutas y verduras,"$ 1.066,80   por 1 unidad/es $ 1.524,00 30 %"
Durazno,"$ 148,40   por 500 gramos $ 212,00 30 %"
Kiwi,"$ 245,00   por 500 gramos $ 350,00 30 %"
Limón,"$ 35,00   por 1 unidad/es $ 50,00 30 %"
Mango,"$ 102,00   por 1 unidad/es $ 170,00 40 %"
Manzana Granny Smith o Verde,"$ 58,80   por 500 gramos $ 84,00 30 %"
Manzana Red,"$ 102,90   por 500 gramos $ 147,00 30 %"
Melón Roció de Miel,"$ 210,00   por 1 unidad/es $ 300,00 30 %"
Naranja,"$ 65,10   por 500 gramos $ 93,00 30 %"
Palta,"$ 79,60   por 1 unidad/es $ 132,66 40 %"
Pelones,"$ 148,40   por 500 gramos $ 212,00 30 %"
Pomelo Rosado,"$ 79,10   por 500 gramos $ 113,00 30 %"
Sandia Sugar Baby,"$ 105,00   por 1 unidad/es $ 150,00 30 %"
Uvas Rojas,"$ 130,00   por 500 gramos"
