producto,precio
Dulce de batata Arcor 500 gr.,"$ 101,23   por 1 unidad/es"
Dulce de leche Estilo Colonial por 400 gr.,"$ 114,24   por 1 unidad/es"
Mermelada BC Damasco Light 390 gr.,"$ 131,88   por 1 unidad/es"
Mermelada de Ciruela Arcor 454 Gr.,"$ 103,78   por 1 unidad/es"
Mermelada de Ciruela Frutas de la Huerta 454 gr,"$ 122,88   por 1 unidad/es"
Mermelada de Damasco Arcor 454 Gr.,"$ 103,78   por 1 unidad/es"
Mermelada de Durazno Frutas de la Huerta 454 gr,"$ 122,88   por 1 unidad/es"
Mermelada de Durazno y Maracuyá BC light 390 Gr.,"$ 131,38   por 1 unidad/es"
Mermelada de Naranja Arcor 454 Gr.,"$ 103,78   por 1 unidad/es"
Mermelada de Naranja Light ARCOR 390 Gr,"$ 121,47   por 1 unidad/es"
Mermelada de arándanos La Campagnola 454 gr,"$ 171,55   por 1 unidad/es"
Mermelada de ciruela Light x 454 gr Arcor.,"$ 133,64   por 1 unidad/es"
Mermelada de durazno x 454 gr Arcor.,"$ 103,78   por 1 unidad/es"
Mermelada de frutilla x 454 gr Arcor.,"$ 149,48   por 1 unidad/es"
