producto,precio
Acelga,"$ 40,60   por 1 atado/s $ 58,00 30 %"
Ajo (por cabeza),"$ 42,00   por 1 unidad/es $ 60,00 30 %"
Apio,"$ 84,00   por 1 atado/s $ 120,00 30 %"
Arándanos en bandejita 125 gr.,"$ 100,20   por 1 unidad/es $ 167,00 40 %"
Bananas,"$ 58,80   por 500 gramos $ 84,00 30 %"
Bananas para Licuado,"$ 28,00   por 500 gramos $ 40,00 30 %"
Batata,"$ 58,10   por 500 gramos $ 83,00 30 %"
Berenjena,"$ 35,00   por 1 unidad/es $ 50,00 30 %"
Bizcochos de Grasa Recetas de la Abuela 200 gr.,"$ 28,36   por 1 unidad/es $ 40,52 30 %"
Brotes de Soja,"$ 91,00   por 200 gramos $ 130,00 30 %"
Brócoli,"$ 126,00   por 1 unidad/es $ 180,00 30 %"
Calabaza,"$ 154,00   por 1 unidad/es $ 220,00 30 %"
Carrot cake y salsa blanca con arroz primavera,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Cebolla,"$ 56,00   por 1 kilo/s $ 80,00 30 %"
Cebolla Morada,"$ 87,50   por 1 kilo/s $ 125,00 30 %"
Cebolla de verdeo,"$ 14,00   por 1 unidad/es $ 20,00 30 %"
Cereza,"$ 120,00   por 250 gramos $ 200,00 40 %"
Cerveza Amstel lata 473 cc,"$ 61,70   por 1 unidad/es $ 102,84 40 %"
Cerveza Andes Negra lata 473 cc,"$ 63,65   por 1 unidad/es $ 90,93 30 %"
Cerveza Andes Rubia lata 473 cc,"$ 60,65   por 1 unidad/es $ 86,64 30 %"
Cerveza Andes roja lata 473 cc,"$ 63,65   por 1 unidad/es $ 90,93 30 %"
Cerveza Brahma Lata 473 cc.,"$ 52,33   por 1 unidad/es $ 80,50 35 %"
Cerveza Quilmes 1890 - 473 cc,"$ 53,13   por 1 unidad/es $ 75,90 30 %"
Cerveza Quilmes lata 473 cc,"$ 53,13   por 1 unidad/es $ 75,90 30 %"
Cerveza Schneider Negra lata 473 cc,"$ 47,71   por 1 unidad/es $ 79,51 40 %"
Cerveza Schneider Roja lata 473 cc,"$ 47,71   por 1 unidad/es $ 79,51 40 %"
Champagne Frutado Fresa FRESITA Bot 750 Ml.,"$ 346,73   por 1 unidad/es $ 577,88 40 %"
Chaucha rolito,"$ 161,00   por 500 gramos $ 230,00 30 %"
Choclo,"$ 49,00   por 1 unidad/es $ 70,00 30 %"
Coliflor,"$ 112,00   por 1 unidad/es $ 160,00 30 %"
Combo box frutas,"$ 679,00   por 1 unidad/es $ 970,00 30 %"
Combo box frutas y verduras,"$ 1.066,80   por 1 unidad/es $ 1.524,00 30 %"
Combo box verduras,"$ 746,20   por 1 unidad/es $ 1.066,00 30 %"
Durazno,"$ 148,40   por 500 gramos $ 212,00 30 %"
Ensalada Campestre,"$ 212,00   por 1 unidad/es $ 265,00 20 %"
Ensalada Completa,"$ 238,50   por 1 unidad/es $ 265,00 10 %"
Ensalada Green,"$ 217,30   por 1 unidad/es $ 265,00 18 %"
Ensalada New Salad,"$ 198,75   por 1 unidad/es $ 265,00 25 %"
Ensalada Pasta Fredda,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
Ensalada primaveral,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Espumante Rosado Santa Julia Dulce Natural 750 Ml.,"$ 374,22   por 1 unidad/es $ 534,60 30 %"
Fanta 1.5 lt,"$ 133,20   por 1 unidad/es $ 148,00 10 %"
Fanta Naranja 2250 ml,"$ 172,98   por 1 unidad/es $ 203,50 15 %"
Galletitas Express Light 330 gr,"$ 139,59   por 1 unidad/es $ 199,41 30 %"
Hongos secos de pino 100 gr,"$ 195,23   por 1 unidad/es $ 278,90 30 %"
Huevos por 6 unidades,"$ 53,20   por 1 unidad/es $ 76,00 30 %"
Jabón blanco en pan ALA Multiaccion 200 gr,"$ 41,46   por 1 unidad/es $ 63,78 35 %"
Kiwi,"$ 245,00   por 500 gramos $ 350,00 30 %"
Lechuga Mantecosa,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Lechuga Morada,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Lechuga Repollada,"$ 56,00   por 1 unidad/es $ 80,00 30 %"
Lechuga de hoja,"$ 50,40   por 1 unidad/es $ 72,00 30 %"
Limón,"$ 35,00   por 1 unidad/es $ 50,00 30 %"
Mango,"$ 102,00   por 1 unidad/es $ 170,00 40 %"
Manzana Granny Smith o Verde,"$ 58,80   por 500 gramos $ 84,00 30 %"
Manzana Red,"$ 102,90   por 500 gramos $ 147,00 30 %"
Melón Roció de Miel,"$ 210,00   por 1 unidad/es $ 300,00 30 %"
Mil hojas rustico de jamón y queso,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Mix Hojas Verdes 250 gr,"$ 84,00   por 250 gramos $ 120,00 30 %"
Mix para Horno 500 gr.,"$ 77,00   por 500 gramos $ 110,00 30 %"
Mix para Soffritto 250 gr.,"$ 66,50   por 250 gramos $ 95,00 30 %"
Mix para Sopa 500 gr,"$ 63,00   por 500 gramos $ 90,00 30 %"
Naranja,"$ 65,10   por 500 gramos $ 93,00 30 %"
Omelette de Jamón y Queso con Salteado de Verduras y Mix de Semillas,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Palta,"$ 79,60   por 1 unidad/es $ 132,66 40 %"
Pan - Miñoncitos caseros x 250 gr - congelados.,"$ 17,00   por 1 unidad/es $ 34,00 50 %"
Pan Dulce con Chips de Chocolate Lanin 400 Gr.,"$ 132,84   por 1 unidad/es $ 265,68 50 %"
Pan Dulce con Frutas y Pasas La Cumbre 500 Gr.,"$ 154,38   por 1 unidad/es $ 308,76 50 %"
Pan Dulce con Frutas y Pasas La Cumbre 700 Gr.,"$ 199,64   por 1 unidad/es $ 399,28 50 %"
Papas lavadas,"$ 79,10   por 1 kilo/s $ 113,00 30 %"
Papel Higienico Scott Rindemax Simple Hoja 30 mts 4 Rollos.,"$ 90,90   por 1 unidad/es $ 139,85 35 %"
Papines,"$ 84,00   por 500 gramos $ 120,00 30 %"
Pelones,"$ 148,40   por 500 gramos $ 212,00 30 %"
Pepino,"$ 65,10   por 1 unidad/es $ 93,00 30 %"
Perejil,"$ 14,00   por 1 atado/s $ 20,00 30 %"
Pimiento Rojo,"$ 40,80   por 1 unidad/es $ 48,00 15 %"
Pimiento Verde,"$ 70,00   por 1 unidad/es $ 100,00 30 %"
Pizzeta con mozzarella y orégano,"$ 141,00   por 1 unidad/es $ 235,00 40 %"
Pollo al horno con papas rusticas,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Pomelo Rosado,"$ 79,10   por 500 gramos $ 113,00 30 %"
Pre pizzetta,"$ 31,50   por 1 unidad/es $ 35,00 10 %"
Puerro,"$ 26,60   por 1 unidad/es $ 38,00 30 %"
Quiche de Calabaza,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
Quiche de Choclo,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
"Quiche de Zapallitos, Cebolla y Queso","$ 225,25   por 1 unidad/es $ 265,00 15 %"
Radichetta,"$ 26,25   por 1 unidad/es $ 37,50 30 %"
Remolachas,"$ 49,00   por 1 atado/s $ 70,00 30 %"
Repollo Blanco,"$ 70,00   por 1 unidad/es $ 100,00 30 %"
Repollo Colorado,"$ 70,00   por 1 unidad/es $ 100,00 30 %"
Rúcula,"$ 46,20   por 1 atado/s $ 66,00 30 %"
Sandia Sugar Baby,"$ 105,00   por 1 unidad/es $ 150,00 30 %"
"Six Pack Aquarius Naranja 1,5 Lt.","$ 591,36   por 1 unidad/es $ 844,80 30 %"
"Six Pack Aquarius Pera 1, 5 Lt.","$ 591,36   por 1 unidad/es $ 844,80 30 %"
"Six Pack Aquarius Pomelo 1,5 Lt.","$ 535,58   por 1 unidad/es $ 765,12 30 %"
Six Pack Coca Cola 0 2250 Ml.,"$ 1.035,97   por 1 unidad/es $ 1.479,96 30 %"
"Six Pack Coca Cola 1,5 Lt.","$ 630,67   por 1 unidad/es $ 900,96 30 %"
Six Pack Coca Cola 2250 Ml.,"$ 1.035,97   por 1 unidad/es $ 1.479,96 30 %"
Six Pack Powerade sabor Manzana 500 Ml.,"$ 297,02   por 1 unidad/es $ 424,32 30 %"
Six Pack Soda Kin 2250 Ml.,"$ 372,96   por 1 unidad/es $ 532,80 30 %"
Tomate Redondo,"$ 39,20   por 500 gramos $ 56,00 30 %"
Tomates Cherry,"$ 44,10   por 500 gramos $ 63,00 30 %"
Tomates Secos 100 gr.,"$ 106,40   por 1 unidad/es $ 152,00 30 %"
Tomates peritas,"$ 47,60   por 500 gramos $ 68,00 30 %"
Turrón mani Arcor 25 gr,"$ 17,84   por 1 unidad/es $ 35,67 50 %"
Vino Blanco Alambrado Chardonnay.,"$ 313,74   por 1 unidad/es $ 448,20 30 %"
Vino Blanco Dulce Natural Santa Julia Chenin lata 355 Ml.,"$ 113,40   por 1 unidad/es $ 162,00 30 %"
Vino Blanco Santa Julia Sauvignon Blanc 750 Ml.,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
Vino Emilia Cabernet Sauvignon 750 cc,"$ 234,30   por 1 unidad/es $ 334,72 30 %"
Vino Nieto Senetiner Chardonay 750 cc,"$ 337,99   por 1 unidad/es $ 482,84 30 %"
Vino Nieto Senetiner Malbec 750 cc,"$ 337,99   por 1 unidad/es $ 482,84 30 %"
Vino Rosado Santa Julia Syrah Rose 750 Ml.,"$ 207,90   por 1 unidad/es $ 297,00 30 %"
Vino Santa Julia Orgánica Malbec-Rosé Lata 269 Ml.,"$ 90,72   por 1 unidad/es $ 129,60 30 %"
Vino Tinto Alambrado Cabernet Sauvignon,"$ 313,74   por 1 unidad/es $ 448,20 30 %"
Vino Tinto Cabernet Sauvignon Santa Julia 750 Ml.,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
Vino Tinto El Espectador Blend - Eduardo Vidal Wines 750 Cc.,"$ 483,30   por 1 unidad/es $ 537,00 10 %"
Vino Tinto Santa Julia Syrah 750 Cc,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
Zanahoria,"$ 31,50   por 500 gramos $ 45,00 30 %"
Zapallito,"$ 42,00   por 500 gramos $ 60,00 30 %"
Zucchini,"$ 70,00   por 500 gramos $ 100,00 30 %"
