producto,precio
Chimichurri 250 gr,"$ 70,00   por 1 unidad/es"
Puré de Tomates De La Huerta 530 gr,"$ 63,36   por 1 unidad/es"
Puré de Tomates De La Huerta 1030 gr,"$ 116,72   por 1 unidad/es"
Puré de tomate La Campagnola 520 Gr.,"$ 65,11   por 1 unidad/es"
Puré de tomates Arcor 520 gr,"$ 57,70   por 1 unidad/es"
Salsa 4 quesos 250gr,"$ 80,00   por 1 unidad/es"
Salsa Criolla 250 gr,"$ 70,00   por 1 unidad/es"
Salsa Pesto 250 gr,"$ 80,00   por 1 unidad/es"
Salsa Pizza Arcor 200 gr.,"$ 60,20   por 1 unidad/es"
Salsa Pizza Arcor 340 gr,"$ 60,84   por 1 unidad/es"
Salsa Provenzal 250 gr,"$ 70,00   por 1 unidad/es"
Salsa boloñesa 250 gr,"$ 80,00   por 1 unidad/es"
Salsa de Soja Cocinero 500 ml,"$ 251,55   por 1 unidad/es"
Salsa fileto 250 gr,"$ 60,00   por 1 unidad/es"
Salsa lista Italiana La Campagnola 340 Gr,"$ 66,75   por 1 unidad/es"
Salsa lista Pomarola Arcor 340 gr.,"$ 60,84   por 1 unidad/es"
Salsa para pizza 250 gr,"$ 60,00   por 1 unidad/es"
Tomates perita La Campagnola 400 gr,"$ 87,20   por 1 unidad/es"
