producto,precio
"Barra Cereal mix Light, sabor yogur con frutilla","$ 42,85   por 1 unidad/es"
Barra Cereal mix sabor yogurt con frutilla,"$ 42,85   por 1 unidad/es"
"Barra Cereal mix, sabor yoghurt con vainilla","$ 42,85   por 1 unidad/es"
Barra de cereal SER sabor frutilla,"$ 26,85   por 1 unidad/es"
Cereal Pura Vida Bolitas de Chocolate 200 Gr.,"$ 128,26   por 1 unidad/es"
Cereales Chocolino Bolitas de chocolate La Virginia 200 gr,"$ 174,93   por 1 unidad/es"
Chocoarroz Blanco con Dulce de Leche 25 gr,"$ 40,30   por 1 unidad/es"
Chocoarroz Negro con Dulce de Leche 25 gr,"$ 40,30   por 1 unidad/es"
Copos de Maiz Azucarado Fortificado Zucar Flakes 200gr,"$ 90,00   por 1 unidad/es"
La Egipciana Arroz inflado y confitado 100 gr.,"$ 102,00   por 1 unidad/es"
La Egipciana Maíz inflado confitado 100 gr.,"$ 96,88   por 1 unidad/es"
La Egipciana Trigo inflado y confitado 100 gr.,"$ 102,00   por 1 unidad/es"
Mani pelado salado Zyma 150 gr,"$ 89,48   por 1 unidad/es"
Maní saborizado Pizza Zyma 150 Gr.,"$ 89,48   por 1 unidad/es"
Maní saborizado Queso Zyma 150 Gr.,"$ 89,48   por 1 unidad/es"
Papas Fritas Clásicas Lay's 90 Gr.,"$ 107,41   por 1 unidad/es"
Saladix Calabresa 100 gr,"$ 64,58   por 1 unidad/es"
Saladix Dúo de jamón y quesos por 80 gr.,"$ 64,58   por 1 unidad/es"
Saladix Parmesano 100 gr,"$ 64,58   por 1 unidad/es"
Saladix de jamón por 100 gr.,"$ 64,58   por 1 unidad/es"
Saladix sabor pizza por 100 gr.,"$ 64,58   por 1 unidad/es"
