producto,precio
Carrot cake y salsa blanca con arroz primavera,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Empanadas Salchicheddar 3 U.,"$ 265,00   por 1 unidad/es"
Empanadas de carne por 3 unidades,"$ 235,00   por 1 unidad/es"
Ensalada Alunt Premium,"$ 265,00   por 1 unidad/es"
Ensalada Caesar con aderezo y crutones 350 gr.,"$ 265,00   por 1 unidad/es"
Ensalada California,"$ 265,00   por 1 unidad/es"
Ensalada Campestre,"$ 212,00   por 1 unidad/es $ 265,00 20 %"
Ensalada Coleslaw,"$ 265,00   por 1 unidad/es"
Ensalada Completa,"$ 238,50   por 1 unidad/es $ 265,00 10 %"
Ensalada Green,"$ 217,30   por 1 unidad/es $ 265,00 18 %"
Ensalada Griega,"$ 265,00   por 1 unidad/es"
Ensalada New Salad,"$ 198,75   por 1 unidad/es $ 265,00 25 %"
Ensalada Pasta Fredda,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
Ensalada primaveral,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Filetes Rusos con Puré Clásico de Papas,"$ 265,00   por 1 unidad/es"
Hamburguesas de Arvejas y Arroz Caseras Gratinadas al Horno con Papas Rusticas,"$ 265,00   por 1 unidad/es"
Medallón de Jamón de Cerdo con Salsa Demiglas y Vegetales Asados,"$ 295,00   por 1 unidad/es"
Mil hojas rustico de jamón y queso,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Omelette de Jamón y Queso con Salteado de Verduras y Mix de Semillas,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
"Pata de cerdo al horno, para 10 / 15 personas + 45 pancitos + 3 Salsas. (48 hs de anticipación)","$ 3.900,00   por 1 unidad/es"
Picada con pancitos caseros para 4 personas (pican 6),"$ 1.500,00   por 1 unidad/es"
Pizzeta con mozzarella y orégano,"$ 141,00   por 1 unidad/es $ 235,00 40 %"
Pizzeta de jamón y queso,"$ 235,00   por 1 unidad/es"
Pollo al horno con papas 1.5 kg,"$ 692,00   por 1 unidad/es"
Pollo al horno con papas rusticas,"$ 159,00   por 1 unidad/es $ 265,00 40 %"
Pollo en escabeche 250 gr,"$ 150,00   por 1 unidad/es"
Quiche de Calabaza,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
Quiche de Choclo,"$ 225,25   por 1 unidad/es $ 265,00 15 %"
"Quiche de Zapallitos, Cebolla y Queso","$ 225,25   por 1 unidad/es $ 265,00 15 %"
Ravioles de Espinacas con Salsa Filetto,"$ 265,00   por 1 unidad/es"
"Roll de Pollo relleno con Jamón, Queso y Vegetales y Guarnición de Papas al Romero","$ 265,00   por 1 unidad/es"
Sandwiches de miga de jamón y queso 6 ud.,"$ 235,00   por 1 unidad/es"
Suprema de pollo con pure,"$ 295,00   por 1 unidad/es"
Tirabuzones a la Bolognesa,"$ 265,00   por 1 unidad/es"
