producto,precio
Acelga Granja del Sol 500 gr,"$ 231,99   por 1 unidad/es"
Espinaca Granja del Sol 500 gr,"$ 250,31   por 1 unidad/es"
Hamburguesa Paladini clasicas 2 unidades,"$ 145,25   por 1 unidad/es"
Medallones de Merluza Granja del Sol 450 gr,"$ 380,88   por 1 unidad/es"
Medallones de Pollo Granja de Sol 330 gr,"$ 221,78   por 1 unidad/es"
Medallón de pollo Paladini jamón y queso 2 u. 170 gr,"$ 114,26   por 1 unidad/es"
"Medallón de pollo, espinacas y queso Paladini 2 u. 170 gr.","$ 124,33   por 1 unidad/es"
Milanesa de Soja con Jamón y Queso Paladini 2 u.,"$ 171,99   por 1 unidad/es"
Milanesa de arroz y vegetales Gds 4 unidades,"$ 185,56   por 1 unidad/es"
Milanesa de soja Granjas del Sol x 330 gr.,"$ 211,20   por 1 unidad/es"
Milanesas de Soja Lucchetti 4 u. 290 gr,"$ 144,60   por 1 unidad/es"
Nuggets de Pollo Paladini 380 Gr.,"$ 256,77   por 1 unidad/es"
Nuggets de pollo Paladini 760 gr.,"$ 580,93   por 1 unidad/es"
Pan - Miñoncitos caseros x 250 gr - congelados.,"$ 17,00   por 1 unidad/es $ 34,00 50 %"
Papas Mc Cain Horneables 600 Gr.,"$ 181,68   por 1 unidad/es"
Patitas de Jamón y Queso Granja del Sol 400 gr,"$ 287,15   por 1 unidad/es"
Patitas de Pollo x 400 gr.,"$ 281,27   por 1 unidad/es"
Pre pizzetta,"$ 31,50   por 1 unidad/es $ 35,00 10 %"
