producto,precio
Ananá en Rodajas Bahia 850 Gr.,"$ 339,10   por 1 unidad/es"
Arvejas Inalpa 350 Gr.,"$ 36,33   por 1 unidad/es"
Arvejas Inalpa 840 Gr.,"$ 101,24   por 1 unidad/es"
Arvejas La Campagñola x 300 gr,"$ 60,30   por 1 unidad/es"
Atún Desmenuzado al Natural Bahia 170 grs,"$ 110,73   por 1 unidad/es"
Atún Desmenuzado al natural Nereida 170 Gr.,"$ 222,92   por 1 unidad/es"
Atún Desmenuzado en Aceite Bahia 170 grs,"$ 113,65   por 1 unidad/es"
Atún Desmenuzado en Agua y Aceite Nereida 170 Gr.,"$ 234,64   por 1 unidad/es"
Bahia Palmitos Enteros 800 Gr.,"$ 375,85   por 1 unidad/es"
Bahia Palmitos en Trozos 800Gr.,"$ 321,03   por 1 unidad/es"
"Berenjenas en escabeche, 250 gr.","$ 150,00   por 1 unidad/es"
Caballa Al Natural La Campagnola 300 gr,"$ 290,12   por 1 unidad/es"
Caballa al Natural Bahia 380 gr,"$ 219,42   por 1 unidad/es"
Caballa en Aceite Bahia 380 gr,"$ 224,29   por 1 unidad/es"
Caballa en Aceite y Agua La Campagnola 300 gr,"$ 297,70   por 1 unidad/es"
Champignones Enteros Bahia 400 gr,"$ 194,06   por 1 unidad/es"
Champignones en Trozos Bahia 850 gr,"$ 374,35   por 1 unidad/es"
Champignones en trozo Bahia 400 Gr,"$ 175,78   por 1 unidad/es"
Choclo Amarillo Cremoso Inalpa 350 Gr.,"$ 40,92   por 1 unidad/es"
Choclo Amarillo Inalpa 350 Gr.,"$ 72,00   por 1 unidad/es"
Choclo Blanco Cremoso Inalpa 350 Gr.,"$ 40,92   por 1 unidad/es"
Durazno en mitades Cumana 820 Gr.,"$ 201,18   por 1 unidad/es"
Frutillas Enteras Seleccionadas Bahia 520 Gr.,"$ 254,45   por 1 unidad/es"
Garbanzos Arcor 300 Gr.,"$ 77,73   por 1 unidad/es"
Garbanzos Inalpa 350 Gr.,"$ 40,55   por 1 unidad/es"
Jardinera Arcor 350 Gr,"$ 72,52   por 1 unidad/es"
Jardinera Inalpa 350 Gr.,"$ 62,73   por 1 unidad/es"
Jardinera con choclo La Campagnola 350 Gr.,"$ 90,42   por 1 unidad/es"
Lentejas Inalpa 350 Gr.,"$ 52,00   por 1 unidad/es"
Lentejas remojadas Arcor 350gr,"$ 78,83   por 1 unidad/es"
Palmitos Enteros Bahia 400 Gr,"$ 182,68   por 1 unidad/es"
Palmitos en Trozos Bahia 400 Gr.,"$ 150,49   por 1 unidad/es"
Pimientos Morrones Bahia 210 Gr.,"$ 151,69   por 1 unidad/es"
Porotos Alubia Arcor 350 gr.,"$ 84,80   por 1 unidad/es"
Porotos Blancos Inalpa 350 Gr.,"$ 48,41   por 1 unidad/es"
Porotos Negros Inalpa 350 Gr.,"$ 43,42   por 1 unidad/es"
Pulpa de Durazno Bahia 820 Ml.,"$ 138,06   por 1 unidad/es"
Pulpa de Frutilla Bahia 820 Ml.,"$ 182,58   por 1 unidad/es"
Sardinas en Aceite Bahia 125 gr,"$ 154,42   por 1 unidad/es"
Sardinas en aceite Nereida 120 Gr,"$ 188,38   por 1 unidad/es"
