producto,precio
Ají Triturado 25 Gr.,"$ 34,34   por 1 unidad/es"
Albahaca Deshidratada 25 Gr.,"$ 30,40   por 1 unidad/es"
Bicarbonato de sodio x 25 gr,"$ 25,00   por 1 unidad/es"
Caldo de Carne Knorr 12 unidades,"$ 93,59   por 1 unidad/es"
Caldo de Verduras Knorr 12 unidades,"$ 93,59   por 1 unidad/es"
Caldo de carne Maggi x 12 unid.,"$ 84,01   por 1 unidad/es"
Caldo de gallina Maggi 6 unid.,"$ 45,28   por 1 unidad/es"
Caldo de verduras Maggi 12 unidades,"$ 84,01   por 1 unidad/es"
Comino 25 gr.,"$ 55,00   por 1 unidad/es"
Condimento para Arroz 25 Gr.,"$ 24,60   por 1 unidad/es"
Nuez moscada x 25 gr,"$ 53,00   por 1 unidad/es"
Pesto deshidratado 25 Gr.,"$ 38,00   por 1 unidad/es"
Pimentón Extra 25 Gr.,"$ 24,28   por 1 unidad/es"
Pimienta Negra Molida 25 gr,"$ 39,48   por 1 unidad/es"
Pimienta blanca molida 25 gr,"$ 64,08   por 1 unidad/es"
Sal Fina Dos Anclas Paq. x 500 Gr.,"$ 48,69   por 1 unidad/es"
Sal Gruesa Dos Anclas Paq. x 1 Kg.,"$ 69,89   por 1 unidad/es"
Sal Light Dos Anclas Est. x 500 Gr.,"$ 161,20   por 1 unidad/es"
Sal Parrillera Dos Anclas Paq. x 1 Kg.,"$ 90,32   por 1 unidad/es"
Sal gruesa Celusal por 1 kg.,"$ 77,70   por 1 unidad/es"
Sal parrillera Celusal por 1 kg.,"$ 71,78   por 1 unidad/es"
