producto,precio
Almendras 100 gr,"$ 201,14   por 1 unidad/es"
Almendras Peladas Zyma 150 gr,"$ 300,63   por 1 unidad/es"
Castaña de Caju Zyma 150 gr,"$ 196,80   por 1 unidad/es"
Castaña de Cajú 100 gr,"$ 175,36   por 1 unidad/es"
Chips de Banana 100 gr,"$ 162,62   por 1 unidad/es"
Coco Rallado 100 Gr.,"$ 140,68   por 1 unidad/es"
Granola clásica 100 gr,"$ 86,52   por 1 unidad/es"
Mix de Semillas 100 gr,"$ 91,48   por 1 unidad/es"
Nuez mariposa extra light (chandler)100 gr,"$ 230,66   por 1 unidad/es"
Pasas de Uva Sin Semilla Zyma 150 Gr.,"$ 95,62   por 1 unidad/es"
Pistachos tostados y salados x 100gr,"$ 337,57   por 1 unidad/es"
Semillas de chia 100 gr,"$ 94,00   por 1 unidad/es"
