producto,precio
Coca Cola Original 1.5 lt,"$ 150,16   por 1 unidad/es"
Coca Cola Original 2.25 lt,"$ 246,66   por 1 unidad/es"
Coca Cola Zero 2.25 lt,"$ 246,66   por 1 unidad/es"
Fanta 1.5 lt,"$ 133,20   por 1 unidad/es $ 148,00 10 %"
Fanta Naranja 2250 ml,"$ 172,98   por 1 unidad/es $ 203,50 15 %"
"Fanta Naranja Sin Azúcar 1,5 Lt.","$ 141,09   por 1 unidad/es"
Gaseosa 7UP 1.5 lt.,"$ 113,01   por 1 unidad/es"
"Schweppes Pomelo Sin Azúcar 1,5 lt","$ 141,09   por 1 unidad/es"
"Six Pack Coca Cola 1,5 Lt.","$ 630,67   por 1 unidad/es $ 900,96 30 %"
Six Pack Coca Cola 2250 Ml.,"$ 1.035,97   por 1 unidad/es $ 1.479,96 30 %"
Sprite 1.5 lt,"$ 141,09   por 1 unidad/es"
Sprite Sin Azúcar 1.5 Lt.,"$ 141,09   por 1 unidad/es"
Sprite común 2.25 lt,"$ 179,08   por 1 unidad/es"
